title,author,price,img
"IT CookBook, 액세스 2019로 배우는 데이터베이스 기초와 실습",김지연,28000,https://www.hanbit.co.kr/data/books/B6503201303_m.jpg
뉴 머신시대의 기업가정신을 찾아서,이건창,18000,https://www.hanbit.co.kr/data/books/B3778110677_m.jpg
세계화와 지역화 : 한국의 선택은?,황해두,17000,https://www.hanbit.co.kr/data/books/B5933962919_m.jpg
포르잔 C++ 바이블,"Behrouz A. Forouzan , Richard F. Gilberg",45000,https://www.hanbit.co.kr/data/books/B1851418066_m.jpg
4차산업혁명시대의 창업실무,"조보상 , 윤두열",28000,https://www.hanbit.co.kr/data/books/B7422122981_m.jpg
딥러닝을 위한 선형대수학,Gilbert Strang,38000,https://www.hanbit.co.kr/data/books/B9479195027_m.jpg
"IT CookBook, 오라클로 배우는 데이터베이스 개론과 실습(2판)","박우창 , 남송휘 , 이현룡",29000,https://www.hanbit.co.kr/data/books/B2082711299_m.jpg
대학을 버려야 대학이 산다,조동성 외 인천대학교 가족 178명,18000,https://www.hanbit.co.kr/data/books/B1825116777_m.jpg
"IT CookBook, 따라 하면서 배우는 사물인터넷",양재삼,28000,https://www.hanbit.co.kr/data/books/B5937482728_m.jpg
R로 하는 다변량 데이터 분석 : 이론부터 실무 활용까지,"카와하시 잇코 , 이와마 노리카즈 , 스즈키 마사유키",32000,https://www.hanbit.co.kr/data/books/B8404138031_m.jpg
창의적 공학설계(3판),김은경,23000,https://www.hanbit.co.kr/data/books/B8573612142_m.jpg
공학 핵심수학(2판)  : 기초부터 심화까지 핵심만 쏙쏙,함남우,23000,https://www.hanbit.co.kr/data/books/B8658821149_m.jpg
응용이 보이는 선형대수학 : 파이썬과 함께하는 선형대수학 이론과 응용,이건명,31000,https://www.hanbit.co.kr/data/books/B7926921440_m.jpg
"IT CookBook, 초연결 사회의 데이터통신과 네트워킹",강문식,29000,https://www.hanbit.co.kr/data/books/B4295361584_m.jpg
"IT CookBook, 쉽게 배우는 MFC 윈도우 프로그래밍","김선우 , 신화선",30000,https://www.hanbit.co.kr/data/books/B3126325886_m.jpg
"IT CookBook, 인공지능 시대를 위한 컴퓨터 과학 개론",정기철,27000,https://www.hanbit.co.kr/data/books/B3715221949_m.jpg
"IT CookBook, 코틀린을 활용한 안드로이드 프로그래밍","우재남 , 유혜림",34000,https://www.hanbit.co.kr/data/books/B3055805288_m.jpg
